cliente_id,nome,data_nascimento,genero,cidade,estado,data_cadastro,segmento
10001,Isabela Silva,1983-08-06,F,,GO,2025-04-13,Pessoa Física
10002,Empresa Lima 002 Ltda,2007-06-08,PJ,,ES,2021-05-19,Pessoa Jurídica
10003,Felipe Silva,1967-11-27,F,,GO,2023-12-04,Pessoa Física
10004,João Nascimento,1985-02-08,F,,RS,2018-04-09,Pessoa Física
10005,Empresa Araújo 005 Ltda,2001-12-05,PJ,,RS,2026-01-31,Pessoa Jurídica
10006,Empresa Costa 006 Ltda,1995-09-22,PJ,,PR,2019-01-01,Pessoa Jurídica
10007,Marcos Souza,1964-06-30,M,,ES,2023-06-26,Pessoa Física
10008,Larissa Lima,1995-09-24,M,,SC,2025-05-14,Pessoa Física
10009,Rafael Santos,1962-06-15,F,,SP,2023-12-01,Pessoa Física
10010,William Nascimento,2004-06-04,M,,DF,2021-10-20,Pessoa Física
10011,Empresa Oliveira 011 Ltda,2000-08-09,PJ,,PR,2021-07-02,Pessoa Jurídica
10012,Henrique Nascimento,1972-08-15,F,,SC,2022-12-10,Alta Renda
10013,Marcos Fernandes,1963-04-15,M,,ES,2019-11-17,Pessoa Física
10014,William Lima,1977-09-27,F,,DF,2024-02-23,Alta Renda
10015,Bruno Fernandes,1951-09-28,F,,PR,2020-08-25,Pessoa Física
10016,Carla Araújo,1971-02-25,F,,RS,2020-09-04,Pessoa Física
10017,Empresa Almeida 017 Ltda,2010-06-30,PJ,,DF,2022-01-12,Pessoa Jurídica
10018,Bruno Almeida,1992-10-17,M,,SC,2023-02-09,Pessoa Física
10019,Eduarda Nascimento,2002-01-09,F,,RS,2022-06-07,Pessoa Física
10020,Patrícia Lima,1955-11-27,M,,SC,2019-09-14,Alta Renda
10021,Sabrina Almeida,1963-05-31,M,,SP,2022-10-04,Pessoa Física
10022,Felipe Araújo,2002-10-14,M,,SP,2025-03-16,Pessoa Física
10023,Empresa Nascimento 023 Ltda,1999-07-07,PJ,,SC,2025-09-03,Pessoa Jurídica
10024,Empresa Araújo 024 Ltda,2006-10-26,PJ,,PR,2026-10-21,Pessoa Jurídica
10025,Tiago Lima,2004-11-11,M,,DF,2019-05-15,Pessoa Física
10026,Marcos Souza,1984-03-16,F,,RS,2025-04-14,Alta Renda
10027,Sabrina Silva,1994-06-02,F,,RS,2022-04-06,Pessoa Física
10028,Isabela Oliveira,1985-10-13,F,,RS,2024-08-26,Pessoa Física
10029,Gabriela Fernandes,1957-05-08,F,,SP,2022-11-01,Pessoa Física
10030,Empresa Nascimento 030 Ltda,2007-05-22,PJ,,RJ,2020-04-05,Pessoa Jurídica
10031,Vanessa Souza,1973-03-16,M,,RJ,2018-12-19,Pessoa Física
10032,Otávio Oliveira,1997-10-01,F,,RJ,2022-03-21,Pessoa Física
10033,João Silva,1989-10-05,F,,SP,2018-07-02,Pessoa Física
10034,Carla Araújo,1987-01-07,F,,PR,2026-04-30,Pessoa Física
10035,Empresa Souza 035 Ltda,1998-05-12,PJ,,RJ,2026-04-07,Pessoa Jurídica
10036,Larissa Almeida,1977-05-20,F,,MG,2019-09-11,Pessoa Física
10037,Vanessa Pereira,1976-10-25,F,,RJ,2025-12-07,Pessoa Física
10038,Empresa Rodrigues 038 Ltda,2010-02-07,PJ,,MG,2023-08-22,Pessoa Jurídica
10039,Daniel Costa,1979-11-11,F,,ES,2023-10-10,Pessoa Física
10040,Empresa Santos 040 Ltda,2007-09-09,PJ,,SC,2020-11-29,Pessoa Jurídica
10041,Ana Silva,1998-03-14,M,São Paulo,SP,2023-02-19,
10042,Carla Costa,1976-01-07,M,Londrina,PR,2026-05-05,
10043,Eduarda Santos,1983-08-12,F,São Paulo,SP,2023-12-08,
10044,Larissa Nascimento,1950-07-16,F,Florianópolis,SC,2025-07-09,
10045,Otávio Souza,1959-02-28,M,Joinville,SC,2023-09-10,
10046,Isabela Costa,1955-12-06,F,Blumenau,SC,2020-09-15,
10047,Felipe Fernandes,1956-08-03,F,Blumenau,SC,2022-01-23,
10048,Natália Almeida,1978-09-09,M,Goiânia,GO,2019-10-09,
10049,Felipe Souza,1999-11-03,M,Florianópolis,SC,2025-10-06,
10050,Ana Rodrigues,2001-04-06,M,Vitória,ES,2020-11-01,
10051,Daniel Oliveira,1987-12-09,M,Santa Cruz do Sul,RS,2019-02-19,
10052,Marcos Araújo,1951-12-17,M,Belo Horizonte,MG,2023-01-28,
10053,Empresa Silva 053 Ltda,2019-03-29,PJ,Florianópolis,SC,2019-02-11,
10054,Eduarda Rodrigues,1984-10-18,F,Londrina,PR,2024-12-21,
10055,Ana Almeida,1966-02-20,M,Goiânia,GO,2023-01-27,
10056,Henrique Silva,1989-05-12,M,Goiânia,GO,2018-07-10,
10057,William Costa,1950-05-11,M,Londrina,PR,2019-02-13,
10058,Daniel Almeida,1967-08-13,F,Londrina,PR,2023-10-23,
10059,Sabrina Souza,1954-10-18,F,Porto Alegre,RS,2021-06-16,
10060,Henrique Lima,2000-02-03,F,Brasília,DF,2025-04-21,
10061,Empresa Nascimento 061 Ltda,2007-03-16,PJ,Campinas,SP,2020-05-16,
10062,Natália Souza,1970-09-03,M,Curitiba,PR,2018-12-23,
